,有無酒駕,有無駕照,有無肇事逃逸,有無減速,有無超速,有無精神疾病,有無證據,有無過失傷害,有無過失致死,是否累犯,是否自首,是否使用藥物,車輛類型
6033,1,0,1,1,0,0,1,1,0,0,1,1,2
613,0,0,1,1,0,0,1,1,0,0,1,0,3
18731,0,0,1,1,0,0,0,0,0,0,1,1,0
11636,0,0,1,1,0,0,1,1,0,0,1,0,0
6900,1,0,1,1,0,0,1,1,0,1,1,1,1
14226,1,0,1,1,0,0,1,1,0,1,1,1,3
3180,1,0,1,1,0,0,1,0,0,0,1,1,1
3177,1,0,1,1,0,0,1,0,0,0,1,1,3
17119,0,1,1,0,0,0,1,1,1,0,1,1,3
18215,0,0,0,1,1,0,1,0,0,0,0,0,2
3033,1,0,1,1,0,0,1,0,0,1,1,1,3
13905,0,1,1,1,0,0,1,1,0,0,1,1,0
15300,1,0,0,1,0,0,1,1,0,1,1,1,0
15188,1,0,0,1,0,0,1,1,0,0,1,0,2
16056,1,0,1,1,0,0,1,1,0,1,1,1,2
14379,0,1,1,1,0,0,1,1,1,0,1,1,3
16347,1,0,0,1,0,0,1,1,0,1,1,0,3
18990,0,0,1,1,0,0,0,1,0,0,1,0,0
15045,1,1,1,1,0,0,1,1,1,0,1,0,3
5827,1,0,1,1,0,0,1,1,0,0,1,1,2
11435,1,0,1,1,0,0,1,1,0,0,1,1,2
